453071.22	265483.32	60.62
453071.27	265482.93	77.61
453070.21	265483.81	60.74
453070.24	265483.43	77.39
453069.23	265484.27	61.38
453068.06	265484.88	59.04
453068.34	265484.31	79.10
453067.04	265485.37	59.21
453066.02	265485.87	58.88
453064.99	265486.37	58.79
453064.23	265486.66	62.47
453063.97	265486.87	58.65
453063.21	265486.82	77.28
453063.27	265486.67	58.40
453064.30	265486.16	58.60
453065.33	265485.66	58.71
453066.37	265485.15	59.13
453067.39	265484.66	58.90
453068.42	265484.16	59.10
453069.54	265483.58	60.66
453070.58	265483.07	60.87
453068.40	265483.02	59.30
453067.37	265483.51	59.21
453066.36	265484.00	59.27
453065.31	265484.52	58.78
453065.53	265484.00	77.59
453064.28	265485.02	58.70
453063.25	265485.52	58.51
453063.97	265484.59	58.71
453065.03	265484.08	59.24
453066.39	265483.30	64.44
453066.05	265483.58	59.25
453067.07	265483.09	59.26
453065.19	265483.07	59.28
453064.16	265483.58	58.90
453063.54	265483.31	58.72
453107.99	265482.84	82.22
453106.87	265482.80	79.11
453108.01	265482.19	81.79
453107.92	265481.38	79.89
453106.90	265481.87	80.10
453105.86	265482.38	79.76
453104.83	265482.87	79.82
453103.70	265482.84	75.39
453104.90	265482.15	80.01
453105.97	265481.61	80.97
453107.01	265481.09	81.18
453107.98	265480.66	79.73
453108.59	265479.37	78.90
453107.48	265479.95	77.03
453106.50	265480.40	78.19
453105.58	265480.78	81.03
453104.51	265481.32	80.22
453103.26	265482.03	20.07
453102.92	265482.39	178.98
453100.92	265482.71	66.56
453101.97	265482.20	66.77
453103.37	265481.32	75.36
453104.63	265480.59	80.79
453105.63	265480.11	80.23
453106.51	265479.76	76.92
453107.61	265479.19	78.65
453108.59	265478.75	77.20
453108.23	265478.01	78.29
453107.88	265478.39	69.10
453107.10	265478.61	75.86
453106.84	265478.89	69.09
453106.06	265479.11	75.63
453105.17	265479.47	78.73
453104.13	265479.98	78.45
453102.99	265480.59	75.73
453101.57	265481.49	66.73
453100.78	265481.74	72.37
453100.53	265482.00	66.56
453100.15	265481.83	81.55
453099.49	265482.50	66.51
453098.66	265482.78	71.07
453097.46	265482.55	76.59
453097.23	265482.77	71.61
453098.21	265482.32	70.73
453099.05	265482.01	66.55
453100.76	265480.82	81.93
453100.09	265481.51	66.56
453101.57	265480.55	76.82
453101.13	265481.00	66.56
453102.41	265480.25	72.23
453103.48	265479.71	73.18
453103.25	265479.95	67.63
453104.65	265479.07	76.40
453105.64	265478.62	75.19
453106.42	265478.38	68.87
453107.91	265477.39	80.59
453107.48	265477.87	69.18
453108.52	265477.34	69.70
453107.44	265476.93	69.60
453106.38	265477.46	150.86
453105.33	265477.98	68.53
453104.51	265478.25	73.98
453103.50	265478.72	74.52
453103.21	265479.02	67.63
453102.15	265479.53	67.08
453101.58	265479.58	77.60
453101.11	265480.06	153.63
453100.07	265480.56	66.63
453099.03	265481.06	66.54
453098.00	265481.56	66.63
453097.09	265481.94	69.31
453096.02	265482.47	68.62
453094.03	265482.61	74.07
453095.03	265482.14	73.53
453094.68	265482.47	10.19
453095.71	265481.98	66.06
453097.23	265481.01	76.40
453096.85	265481.38	68.20
453098.05	265480.72	71.70
453097.81	265480.95	66.56
453098.85	265480.44	66.65
453099.87	265479.95	66.56
453100.92	265479.44	66.66
453101.99	265478.91	67.53
453103.32	265478.09	74.66
453103.04	265478.39	67.82
453104.09	265477.87	68.07
453105.14	265477.36	68.37
453106.22	265476.81	69.32
453104.15	265476.98	68.22
453103.10	265477.49	67.91
453102.05	265478.01	67.58
453101.00	265478.53	66.95
453099.96	265479.03	66.78
453099.10	265479.36	70.85
453098.90	265479.55	66.48
453098.29	265479.62	76.02
453097.87	265480.05	66.45
453096.82	265480.56	66.19
453095.76	265481.08	65.87
453094.74	265481.57	66.02
453094.08	265481.70	130.00
453093.11	265482.15	75.08
453091.90	265482.09	73.05
453091.56	265482.43	66.01
453093.04	265481.50	75.16
453093.97	265481.09	73.20
453093.63	265481.43	65.98
453094.66	265480.93	12.92
453095.70	265480.42	65.90
453096.74	265479.92	65.95
453089.64	265481.58	144.64
453089.46	265481.75	66.09
453090.85	265480.92	73.17
453090.49	265481.26	65.94
453091.97	265480.33	75.11
453093.01	265479.82	75.38
453093.80	265479.53	70.70
453093.57	265479.77	65.81
453094.70	265479.17	67.98
453091.20	265479.80	76.07
453090.70	265480.27	65.84
453090.04	265480.42	73.38
453088.77	265481.14	68.62
453087.73	265481.65	68.23
453086.55	265482.28	65.43
453085.52	265482.78	65.37
453084.96	265482.42	65.39
453085.99	265481.92	65.41
453087.03	265481.42	65.45
453088.07	265480.91	65.61
453089.25	265480.27	68.48
453090.78	265479.30	180.63
453090.39	265479.66	70.82
453090.14	265479.90	65.80
453091.64	265478.96	75.20
453092.69	265478.43	76.02
453093.55	265478.09	72.58
453093.23	265478.40	65.70
453094.27	265477.90	65.69
453095.31	265477.39	65.79
453096.36	265476.89	65.88
453093.69	265477.17	65.66
